GOID,ORF,Gene,ORFDesc,Known Terms,Predicted Term,Type,Nt,p80,Pinit,Pmrf,Deg,LDeg,TDeg,Etdeg,Imp
30554,YFR037C,RSC8,,f:?; c:nucleus; c:nucleosome remodeling complex; p:chromatin modeling,adenyl nucleotide binding,f,140,0.9,0.62953,0.98094,16,11,4,6.8664,Y
4298,YFR052W,RPN12,32-34 kDa protein,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,threonine endopeptidase,f,30,0.2,1,1,28,24,17,19.1965,Y
4299,YFR052W,RPN12,32-34 kDa protein,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,proteasome endopeptidase,f,30,0.2,1,1,28,24,17,19.1965,N
5524,YFR052W,RPN12,32-34 kDa protein,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,ATP binding,f,140,0.9,0.80104,0.94938,28,24,6,7.3885,Y
8233,YFR052W,RPN12,32-34 kDa protein,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,peptidase,f,81,0.5,1,1,28,24,17,19.3235,Y
16887,YFR052W,RPN12,32-34 kDa protein,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,ATPase,f,135,0.9,0.8119,0.95573,28,24,6,7.3989,N
30554,YFR052W,RPN12,32-34 kDa protein,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,adenyl nucleotide binding,f,140,0.9,0.80104,0.94938,28,24,6,7.3885,Y
6270,YFR057W,YFR057W,,p:?; f:?; c:?,DNA replication initiation,p,22,0.3,0.39611,0.39611,1,1,1,1,N
4298,YGL004C,YGL004C,,p:?; f:?; c:?,threonine endopeptidase,f,30,0.2,1,1,18,15,14,16.9844,Y
4299,YGL004C,YGL004C,,p:?; f:?; c:?,proteasome endopeptidase,f,30,0.2,1,1,18,15,14,16.9844,N
5524,YGL004C,YGL004C,,p:?; f:?; c:?,ATP binding,f,140,0.9,0.93911,0.98569,18,15,6,7.302,Y
5838,YGL004C,YGL004C,,p:?; f:?; c:?,19S proteasome regulatory particle,c,21,0.7,1,1,18,17,16,17,N
6508,YGL004C,YGL004C,,p:?; f:?; c:?,proteolysis and peptidolysis,p,101,0.5,1,1,18,18,16,16,Y
8233,YGL004C,YGL004C,,p:?; f:?; c:?,peptidase,f,81,0.5,1,1,18,15,14,16.9748,Y
9056,YGL004C,YGL004C,,p:?; f:?; c:?,catabolism,p,211,0.9,1,1,18,18,16,16,Y
9057,YGL004C,YGL004C,,p:?; f:?; c:?,macromolecule catabolism,p,144,0.8,1,1,18,18,16,16,Y
16887,YGL004C,YGL004C,,p:?; f:?; c:?,ATPase,f,135,0.9,0.94542,0.98804,18,15,6,7.3112,N
19941,YGL004C,YGL004C,,p:?; f:?; c:?,protein-ligand dependent protein catabolism,p,82,0.6,1,1,18,18,14,14,N
30163,YGL004C,YGL004C,,p:?; f:?; c:?,protein catabolism,p,112,0.6,1,1,18,18,16,16,Y
30554,YGL004C,YGL004C,,p:?; f:?; c:?,adenyl nucleotide binding,f,140,0.9,0.93911,0.98569,18,15,6,7.302,Y
30528,YGL066W,SGF73,Probable 73KkDa Subunit of SAGA histone acetyltransferase complex,p:?; c:SAGA complex; f:?,transcription regulator,f,245,0.6,0.80477,0.77323,3,2,2,2.0203,N
4298,YGL074C,YGL074C,,p:?; f:?; c:?,threonine endopeptidase,f,30,0.2,0.30048,0.30048,1,1,1,1,Y
4299,YGL074C,YGL074C,,p:?; f:?; c:?,proteasome endopeptidase,f,30,0.2,0.30048,0.30048,1,1,1,1,N
3723,YGL111W,NSA1,ribosome biogenesis,f:?; c:?; p:ribosomal large subunit biogenesis,RNA binding,f,230,0.7,0.0056186,0.99941,11,5,1,6.9999,N
3700,YGL127C,SOH1,,f:?; p:DNA repair; p:transcription from Pol II promoter; c:?,transcription factor,f,213,0.7,0.3317,1,68,38,11,19.7698,N
3723,YGL128C,CWC23,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.54675,0.90802,4,3,2,3,N
16563,YGL128C,CWC23,,p:?; f:?; c:?,transcriptional activator,f,26,0.6,0.17224,0.88895,4,3,1,2,N
30529,YGL128C,CWC23,,p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,0.94319,0.94319,4,4,3,3,N
6997,YGL133W,ITC1,,p:?; f:?; c:nucleus,nuclear organization and biogenesis,p,187,0.9,0.68788,0.98024,6,4,3,4.9969,N
5478,YGL145W,TIP20,transport protein that interacts with Sec20p; required for protein transport from the endoplasmic reticulum to the golgi apparatus,f:?; c:endoplasmic reticulum; p:retrograde (Golgi to ER) transport,intracellular transporter,f,25,0.6,0.99857,0.99845,7,4,3,3.0147,Y
5484,YGL145W,TIP20,transport protein that interacts with Sec20p; required for protein transport from the endoplasmic reticulum to the golgi apparatus,f:?; c:endoplasmic reticulum; p:retrograde (Golgi to ER) transport,SNAP receptor,f,22,0.9,0.99827,0.99828,7,4,3,3.028,N
3700,YGL151W,NUT1,,f:?; c:nucleus; p:regulation of transcription from Pol II promoter,transcription factor,f,213,0.7,0.99982,0.99982,7,7,6,6,Y
3702,YGL151W,NUT1,,f:?; c:nucleus; p:regulation of transcription from Pol II promoter,RNA polymerase II transcription factor,f,96,0.4,0.99999,0.99999,7,7,6,6,Y
16251,YGL151W,NUT1,,f:?; c:nucleus; p:regulation of transcription from Pol II promoter,general RNA polymerase II transcription factor,f,60,0.4,1,1,7,7,6,6,N
30528,YGL151W,NUT1,,f:?; c:nucleus; p:regulation of transcription from Pol II promoter,transcription regulator,f,245,0.6,0.99988,0.99988,7,7,6,6,Y
5478,YGL161C,YGL161C,,p:?; f:?; c:?,intracellular transporter,f,25,0.6,0.3301,1,10,3,2,8.5049,Y
5484,YGL161C,YGL161C,,p:?; f:?; c:?,SNAP receptor,f,22,0.9,0.4805,1,10,3,2,8.7523,N
6886,YGL161C,YGL161C,,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.76486,0.99999,10,4,3,7.9022,N
16192,YGL161C,YGL161C,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.9865,1,10,4,4,9.154,N
5198,YGL170C,SPO74,,f:?; p:sporulation (sensu Saccharomyces); c:?,structural molecule,f,224,0.9,0.93239,0.95832,5,4,3,3.3126,N
5643,YGL170C,SPO74,,f:?; p:sporulation (sensu Saccharomyces); c:?,nuclear pore,c,42,0.7,0.98274,0.98274,5,5,3,3,N
6628,YGL177W,YGL177W,,p:?; f:?; c:?,mitochondrial translocation,p,20,0.4,0.53829,0.53829,1,1,1,1,N
6886,YGL198W,YGL198W,,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.026558,0.95715,10,5,1,4.3234,N
16192,YGL198W,YGL198W,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.19413,0.99947,10,5,2,5.5508,N
3700,YGR017W,YGR017W,,p:?; f:?; c:?,transcription factor,f,213,0.7,0.76592,0.81638,3,2,2,2.2039,N
30528,YGR017W,YGR017W,,p:?; f:?; c:?,transcription regulator,f,245,0.6,0.80477,0.85787,3,2,2,2.2409,Y
30515,YGR081C,YGR081C,,p:?; f:?; c:?,snoRNA binding,f,28,0.5,0.0030287,0.8157,4,2,0,2,N
3723,YGR090W,UTP22,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.99987,1,50,33,16,31.1801,Y
16070,YGR090W,UTP22,,p:?; f:?; c:?,RNA metabolism,p,256,0.9,1,1,50,37,21,28.1143,N
30515,YGR090W,UTP22,,p:?; f:?; c:?,snoRNA binding,f,28,0.5,1,1,50,33,12,26.711,N
30529,YGR090W,UTP22,,p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,0.96942,1,50,38,13,20.1048,N
3723,YGR103W,NOP7,,f:?; c:nucleus; c:nucleolus; p:ribosomal large subunit biogenesis,RNA binding,f,230,0.7,0.093997,1,48,24,10,31.7157,N
221,YGR117C,YGR117C,,p:?; f:?; c:?,hydrogen-transporting ATPase V1 domain,c,9,0.1,0.13164,0.1305,3,2,1,1.0013,N
175,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,3'-5' exoribonuclease,f,18,0.5,0.99928,0.99928,5,5,3,3,N
3723,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,RNA binding,f,230,0.7,0.84601,0.84601,5,5,3,3,Y
4518,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,nuclease,f,68,0.5,0.9774,0.9774,5,5,3,3,Y
4527,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,exonuclease,f,34,0.4,0.99706,0.99706,5,5,3,3,Y
4540,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,ribonuclease,f,44,0.3,0.9955,0.9955,5,5,3,3,Y
8408,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,3'-5' exonuclease,f,25,0.5,0.99903,0.99903,5,5,3,3,Y
16788,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,"hydrolase, acting on ester bonds",f,157,0.7,0.83773,0.83773,5,5,3,3,Y
16896,YGR134W,CAF130,,f:?; p:regulation of transcription from Pol II promoter; c:CCR4-NOT complex,"exoribonuclease, producing 5'-phosphomonoesters",f,23,0.5,0.99876,0.99876,5,5,3,3,Y
3723,YGR145W,ENP2,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.012371,0.99985,10,3,1,7.3258,Y
30515,YGR145W,ENP2,,p:?; f:?; c:?,snoRNA binding,f,28,0.5,0.018206,1,10,3,1,7.2382,N
30529,YGR145W,ENP2,,p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,0.005001,0.99324,10,5,1,5.1928,N
314,YGR150C,YGR150C,,p:?; f:?; c:?,organellar small ribosomal subunit,c,24,0.3,0.40635,0.39327,2,1,1,1,Y
5763,YGR150C,YGR150C,,p:?; f:?; c:?,mitochondrial small ribosomal subunit,c,24,0.3,0.40635,0.39327,2,1,1,1,N
3723,YGR156W,PTI1,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.99993,1,12,10,8,9.908,Y
6378,YGR156W,PTI1,,p:?; f:?; c:?,mRNA polyadenylation,p,16,0.8,1,1,12,11,8,8.9078,N
16070,YGR156W,PTI1,,p:?; f:?; c:?,RNA metabolism,p,256,0.9,1,1,12,11,10,10.8881,Y
30363,YGR156W,PTI1,,p:?; f:?; c:?,pre-mRNA cleavage factor,f,13,0.4,1,1,12,10,7,8.9996,Y
30364,YGR156W,PTI1,,p:?; f:?; c:?,cleavage/polyadenylation specificity factor,f,13,0.4,1,1,12,10,7,8.9996,N
74,YGR161C,YGR161C,,p:?; f:?; c:?,regulation of cell cycle,p,99,0.8,0.85937,0.85937,3,3,3,3,N
16788,YGR161C,YGR161C,,p:?; f:?; c:?,"hydrolase, acting on ester bonds",f,157,0.7,0.89352,0.89352,3,3,3,3,N
5484,YGR172C,YIP1,,f:?; c:Golgi apparatus; c:membrane; p:vesicle-mediated transport,SNAP receptor,f,22,0.9,0.00024806,1,16,8,1,7.0113,N
4298,YGR232W,NAS6,26S proteasome interacting protein,f:?; c:19S proteasome regulatory particle; p:proteolysis and peptidolysis,threonine endopeptidase,f,30,0.2,0.47614,0.98451,6,5,2,3,Y
4299,YGR232W,NAS6,26S proteasome interacting protein,f:?; c:19S proteasome regulatory particle; p:proteolysis and peptidolysis,proteasome endopeptidase,f,30,0.2,0.47614,0.98451,6,5,2,3,N
8233,YGR232W,NAS6,26S proteasome interacting protein,f:?; c:19S proteasome regulatory particle; p:proteolysis and peptidolysis,peptidase,f,81,0.5,0.58257,0.9752,6,5,2,3,Y
3723,YGR245C,SDA1,,f:?; c:nucleus; p:start control point of mitotic cell cycle; p:actin cytoskeleton organization and biogenesis,RNA binding,f,230,0.7,0.00059207,1,17,5,1,12.0041,N
314,YGR251W,YGR251W,,p:?; f:?; c:?,organellar small ribosomal subunit,c,24,0.3,0.61238,0.61238,1,1,1,1,Y
5763,YGR251W,YGR251W,,p:?; f:?; c:?,mitochondrial small ribosomal subunit,c,24,0.3,0.61238,0.61238,1,1,1,1,N
3723,YGR278W,CWC22,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.091919,0.95789,5,2,1,3.6144,N
8380,YGR278W,CWC22,,p:?; f:?; c:?,RNA splicing,p,86,0.9,0.48353,0.94763,5,4,2,3,N
16563,YGR278W,CWC22,,p:?; f:?; c:?,transcriptional activator,f,26,0.6,0.15764,0.99817,5,2,1,3.1927,N
30529,YGR278W,CWC22,,p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,0.47131,0.92402,5,3,2,3.1107,N
3723,YGR290W,YGR290W,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.7594,0.7594,2,2,2,2,N
5667,YHL006C,SHU1,,p:?; f:?; c:?,transcription factor complex,c,91,0.4,0.5019,0.47092,7,3,2,2.1332,N
3899,YHL021C,YHL021C,,p:?; f:?; c:?,DNA-directed RNA polymerase,f,31,0.5,0.76088,0.88642,5,3,2,2.1117,N
16779,YHL021C,YHL021C,,p:?; f:?; c:?,nucleotidyltransferase,f,63,0.6,0.72309,0.75687,5,3,2,2.1259,Y
4298,YHL030W,ECM29,,f:?; p:cell wall organization and biogenesis; c:?,threonine endopeptidase,f,30,0.2,0.99999,1,19,17,7,8,Y
4299,YHL030W,ECM29,,f:?; p:cell wall organization and biogenesis; c:?,proteasome endopeptidase,f,30,0.2,0.99999,1,19,17,7,8,N
5838,YHL030W,ECM29,,f:?; p:cell wall organization and biogenesis; c:?,19S proteasome regulatory particle,c,21,0.7,1,1,19,17,8,8,N
8233,YHL030W,ECM29,,f:?; p:cell wall organization and biogenesis; c:?,peptidase,f,81,0.5,1,1,19,17,8,9,Y
3700,YHL044W,YHL044W,,p:?; f:?; c:?,transcription factor,f,213,0.7,0.71918,0.76043,4,2,2,2.261,Y
3702,YHL044W,YHL044W,,p:?; f:?; c:?,RNA polymerase II transcription factor,f,96,0.4,0.76324,0.89004,4,2,2,2.2562,Y
16251,YHL044W,YHL044W,,p:?; f:?; c:?,general RNA polymerase II transcription factor,f,60,0.4,0.72058,0.77468,4,2,2,2.1666,N
30528,YHL044W,YHL044W,,p:?; f:?; c:?,transcription regulator,f,245,0.6,0.75739,0.84976,4,2,2,2.3235,Y
3702,YHL045W,YHL045W,,p:?; f:?; c:?,RNA polymerase II transcription factor,f,96,0.4,0.71603,0.71603,4,4,2,2,Y
16251,YHL045W,YHL045W,,p:?; f:?; c:?,general RNA polymerase II transcription factor,f,60,0.4,0.68595,0.68595,4,4,2,2,N
30528,YHL045W,YHL045W,,p:?; f:?; c:?,transcription regulator,f,245,0.6,0.65879,0.65879,4,4,2,2,Y
5198,YHR004C,NEM1,,f:?; p:nuclear organization and biogenesis; p:sporulation (sensu Saccharomyces); c:integral membrane protein; c:nuclear envelope-endoplasmic reticulum network,structural molecule,f,224,0.9,0.94406,0.99188,5,3,3,4.0449,N
3936,YHR060W,VMA22,,f:?; c:endoplasmic reticulum membrane; p:glycogen metabolism; p:protein complex assembly; p:vacuolar acidification,hydrogen-transporting two-sector ATPase,f,25,0.5,0.77926,0.79947,12,9,3,3.4177,N
15399,YHR060W,VMA22,,f:?; c:endoplasmic reticulum membrane; p:glycogen metabolism; p:protein complex assembly; p:vacuolar acidification,primary active transporter,f,62,0.6,0.78974,0.97399,12,9,3,4.1017,Y
15405,YHR060W,VMA22,,f:?; c:endoplasmic reticulum membrane; p:glycogen metabolism; p:protein complex assembly; p:vacuolar acidification,P-P-bond-hydrolysis-driven transporter,f,48,0.5,0.76689,0.79158,12,9,3,3.4914,Y
15442,YHR060W,VMA22,,f:?; c:endoplasmic reticulum membrane; p:glycogen metabolism; p:protein complex assembly; p:vacuolar acidification,hydrogen-/sodium-translocating ATPase,f,25,0.5,0.77926,0.79947,12,9,3,3.4177,Y
16820,YHR060W,VMA22,,f:?; c:endoplasmic reticulum membrane; p:glycogen metabolism; p:protein complex assembly; p:vacuolar acidification,"hydrolase, acting on acid anhydrides, catalyzing transmembrane movement of substances",f,43,0.5,0.76831,0.79226,12,9,3,3.4768,Y
3723,YHR066W,SSF1,Ssf2p homolog,p:ribosomal large subunit assembly and maintenance; f:?; c:nucleolus; p:mating (sensu Saccharomyces),RNA binding,f,230,0.7,0.77294,1,32,14,8,24.6302,N
6487,YHR080C,YHR080C,,p:?; f:?; c:?,N-linked glycosylation,p,27,0.4,0.49827,0.49827,1,1,1,1,N
175,YHR081W,LRP1,,p:?; f:?; c:?,3'-5' exoribonuclease,f,18,0.5,0.97105,0.96992,3,2,2,2,N
176,YHR081W,LRP1,,p:?; f:?; c:?,nuclear exosome (RNase complex),c,11,0.3,0.99112,0.99086,3,2,2,2,N
177,YHR081W,LRP1,,p:?; f:?; c:?,cytoplasmic exosome (RNase complex),c,10,0.6,0.98847,0.98818,3,2,2,2,N
178,YHR081W,LRP1,,p:?; f:?; c:?,exosome (RNase complex),c,12,0.3,0.99221,0.99196,3,2,2,2,Y
4518,YHR081W,LRP1,,p:?; f:?; c:?,nuclease,f,68,0.5,0.82206,0.8096,3,2,2,2.0001,Y
4527,YHR081W,LRP1,,p:?; f:?; c:?,exonuclease,f,34,0.4,0.93797,0.93444,3,2,2,2,Y
4540,YHR081W,LRP1,,p:?; f:?; c:?,ribonuclease,f,44,0.3,0.92471,0.91965,3,2,2,2,Y
8408,YHR081W,LRP1,,p:?; f:?; c:?,3'-5' exonuclease,f,25,0.5,0.96793,0.96631,3,2,2,2,Y
16896,YHR081W,LRP1,,p:?; f:?; c:?,"exoribonuclease, producing 5'-phosphomonoesters",f,23,0.5,0.96049,0.95872,3,2,2,2,Y
3723,YHR088W,RPF1,,p:ribosomal large subunit assembly and maintenance; f:?; c:nucleolus,RNA binding,f,230,0.7,0.031736,0.9999,8,2,1,6.9994,N
5478,YHR105W,YHR105W,,p:?; f:?; c:?,intracellular transporter,f,25,0.6,0.00018017,0.99969,6,1,0,3.1833,Y
5484,YHR105W,YHR105W,,p:?; f:?; c:?,SNAP receptor,f,22,0.9,0.00039264,0.99954,6,1,0,3.1819,N
6886,YHR105W,YHR105W,,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.52267,0.98779,6,3,2,4.1225,N
16192,YHR105W,YHR105W,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.56939,0.99702,6,3,2,4.1828,N
42145,YHR195W,NVJ1,,p:?; f:protein binding; c:nuclear membrane,homotypic vacuole fusion (non-autophagic),p,7,0.2,0.30972,0.30972,2,2,1,1,N
3723,YHR197W,IPI2,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.00047992,0.99999,17,6,1,10.2849,N
6772,YHR207C,SET5,,p:?; f:?; c:?,thiamin metabolism,p,15,0.2,0.26927,0.26927,3,3,1,1,Y
9228,YHR207C,SET5,,p:?; f:?; c:?,thiamin biosynthesis,p,15,0.2,0.26927,0.26927,3,3,1,1,N
4298,YIL009C-A,EST3,20.5 kDa 181aa protein,f:?; c:nucleus; c:telomerase holoenzyme complex; p:telomerase-dependent telomere maintenance,threonine endopeptidase,f,30,0.2,0.30048,0.30048,1,1,1,1,Y
4299,YIL009C-A,EST3,20.5 kDa 181aa protein,f:?; c:nucleus; c:telomerase holoenzyme complex; p:telomerase-dependent telomere maintenance,proteasome endopeptidase,f,30,0.2,0.30048,0.30048,1,1,1,1,N
4540,YIL037C,PRM2,,f:?; p:mating (sensu Saccharomyces); c:integral membrane protein,ribonuclease,f,44,0.3,0.37212,0.37212,1,1,1,1,N
4298,YIL075C,RPN2,,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,threonine endopeptidase,f,30,0.2,0.18035,0.93895,2,1,1,1.9999,Y
4299,YIL075C,RPN2,,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,proteasome endopeptidase,f,30,0.2,0.18035,0.93895,2,1,1,1.9999,N
8233,YIL075C,RPN2,,f:?; c:nucleus; c:cytoplasm; c:19S proteasome regulatory particle; p:ubiquitin-dependent protein catabolism,peptidase,f,81,0.5,0.28119,0.91674,2,1,1,1.9996,Y
16772,YIL106W,MOB1,,f:?; c:bud neck; p:mitosis,"transferase, transferring phosphorus-containing groups",f,219,0.9,0.963,0.97642,11,9,6,6.5455,N
3723,YIL137C,YIL137C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.27835,0.7594,2,1,1,2,N
3700,YIL141W,YIL141W,,p:?; f:?; c:?,transcription factor,f,213,0.7,0.7286,0.7286,3,3,2,2,Y
3701,YIL141W,YIL141W,,p:?; f:?; c:?,RNA polymerase I transcription factor,f,8,0.1,0.14316,0.14316,3,3,1,1,N
30528,YIL141W,YIL141W,,p:?; f:?; c:?,transcription regulator,f,245,0.6,0.76425,0.76425,3,3,2,2,Y
16279,YJL010C,YJL010C,,p:?; f:?; c:?,protein-lysine N-methyltransferase,f,9,0.3,0.40571,0.40571,1,1,1,1,N
5717,YJL026W,RNR2,"ribonucleotide reductase subunit, ribonucleotide reductase, small (R2) subunit",f:ribonucleoside-diphosphate reductase; p:DNA replication; c:?,chromatin,c,22,0.4,0.71394,0.71065,16,15,3,3.0116,N
30008,YJL044C,GYP6,GTPase activating protein (GAP)  for Ypt6,f:GTPase activator; p:intracellular protein transport; c:?,TRAPP,c,10,0.3,0.96764,0.99422,4,3,2,2.2387,N
5643,YJL057C,IKS1,serine/threonine kinase (putative),p:?; f:?; c:?,nuclear pore,c,42,0.7,0.80997,0.80997,3,3,2,2,N
3723,YJL069C,UTP18,"U3 snoRNP protein, U3 snoRNA associated protein",p:?; f:?; c:?,RNA binding,f,230,0.7,1,1,29,22,15,20.2401,Y
16070,YJL069C,UTP18,"U3 snoRNP protein, U3 snoRNA associated protein",p:?; f:?; c:?,RNA metabolism,p,256,0.9,1,1,29,21,15,19.6546,N
30515,YJL069C,UTP18,"U3 snoRNP protein, U3 snoRNA associated protein",p:?; f:?; c:?,snoRNA binding,f,28,0.5,1,1,29,22,13,18.2383,N
30529,YJL069C,UTP18,"U3 snoRNP protein, U3 snoRNA associated protein",p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,1,1,29,22,15,19.3027,N
3723,YJL080C,SCP160,,"f:?; c:endoplasmic reticulum membrane; c:polysome; p:chromosome segregation; p:mRNA localization, intracellular; c:nuclear envelope-endoplasmic reticulum network",RNA binding,f,230,0.7,0.4452,0.86072,9,7,3,4.0646,N
143,YJL095W,BCK1,MEKK,p:establishment of cell polarity (sensu Saccharomyces); f:MAP kinase kinase; p:protein amino acid phosphorylation; p:protein kinase cascade; p:nutritional response pathway; c:?,actin cap (sensu Saccharomyces),c,26,0.9,0.24036,0.99176,12,8,2,3.7656,N
3723,YJL107C,YJL107C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.68429,0.75427,3,2,2,2.2414,N
3723,YJL124C,LSM1,,"p:mRNA catabolism, deadenylation-dependent; p:deadenylation-dependent decapping; f:?; c:?",RNA binding,f,230,0.7,0.99997,0.99997,14,14,9,9,N
30529,YJL124C,LSM1,,"p:mRNA catabolism, deadenylation-dependent; p:deadenylation-dependent decapping; f:?; c:?",ribonucleoprotein complex,c,165,0.9,0.99946,0.99995,14,13,7,7.9835,N
151,YJL149W,YJL149W,,p:?; f:?; c:?,ubiquitin ligase complex,c,21,0.4,0.97918,0.97918,2,2,2,2,Y
152,YJL149W,YJL149W,,p:?; f:?; c:?,nuclear ubiquitin ligase complex,c,19,0.7,0.9751,0.9751,2,2,2,2,N
6508,YJL149W,YJL149W,,p:?; f:?; c:?,proteolysis and peptidolysis,p,101,0.5,0.88535,0.88535,2,2,2,2,Y
19941,YJL149W,YJL149W,,p:?; f:?; c:?,protein-ligand dependent protein catabolism,p,82,0.6,0.89252,0.89252,2,2,2,2,N
30163,YJL149W,YJL149W,,p:?; f:?; c:?,protein catabolism,p,112,0.6,0.83469,0.83469,2,2,2,2,Y
16192,YJL151C,SNA3,,p:?; f:?; c:membrane,vesicle-mediated transport,p,191,0.9,0.98317,0.98317,3,3,3,3,N
338,YJL160C,YJL160C,,p:?; f:?; c:?,protein deneddylation,p,5,0.1,0.32891,0.32891,2,2,1,1,N
8180,YJL160C,YJL160C,,p:?; f:?; c:?,signalosome complex,c,5,0.1,0.37036,0.36757,2,1,1,1.0409,N
338,YJR015W,YJR015W,,p:?; f:?; c:?,protein deneddylation,p,5,0.1,0.21127,0.21127,3,3,1,1,N
8180,YJR015W,YJR015W,,p:?; f:?; c:?,signalosome complex,c,5,0.1,0.21671,0.21671,3,3,1,1,N
5742,YJR038C,YJR038C,,p:?; f:?; c:?,mitochondrial outer membrane translocase complex,c,8,0.3,0.41302,0.40774,2,1,1,1,N
3723,YJR050W,ISY1,,f:?; c:spliceosome complex; p:mRNA splicing,RNA binding,f,230,0.7,0.15389,0.92954,4,1,1,3.1255,N
16563,YJR050W,ISY1,,f:?; c:spliceosome complex; p:mRNA splicing,transcriptional activator,f,26,0.6,0.0055867,0.9434,4,1,0,2.1484,N
221,YJR062C,NTA1,52 kDa amidase specific for N-terminal asparagine and glutamine,p:protein modification; c:?; f:protein N-terminal asparagine amidohydrolase; p:protein catabolism,hydrogen-transporting ATPase V1 domain,c,9,0.1,0.81826,0.81725,7,6,2,2.0008,N
6886,YJR082C,EAF6,Subunit of the NuA4 complex,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.65014,0.92241,16,11,4,5.1586,N
3723,YJR084W,CSN12,COP9 signalosome (CSN) subunit,p:?; f:?; c:?,RNA binding,f,230,0.7,0.7594,0.7594,2,2,2,2,N
3701,YJR087W,YJR087W,,p:?; f:?; c:?,RNA polymerase I transcription factor,f,8,0.1,0.17044,0.17044,2,2,1,1,N
171,YJR115W,YJR115W,,p:?; f:?; c:?,ribonuclease MRP,f,9,0.1,0.72979,0.72979,1,1,1,1,N
172,YJR115W,YJR115W,,p:?; f:?; c:?,ribonuclease mitochondrial RNA processing complex,c,9,0.1,0.74523,0.74523,1,1,1,1,N
4526,YJR115W,YJR115W,,p:?; f:?; c:?,ribonuclease P,f,9,0.5,0.6531,0.6531,1,1,1,1,N
4540,YJR115W,YJR115W,,p:?; f:?; c:?,ribonuclease,f,44,0.3,0.37212,0.37212,1,1,1,1,Y
5655,YJR115W,YJR115W,,p:?; f:?; c:?,ribonuclease P complex,c,8,0.6,0.71149,0.71149,1,1,1,1,N
16891,YJR115W,YJR115W,,p:?; f:?; c:?,"endoribonuclease, producing 5'-phosphomonoesters",f,14,0.5,0.57404,0.57404,1,1,1,1,Y
3723,YKL009W,MRT4,,f:?; c:?; p:ribosomal large subunit biogenesis,RNA binding,f,230,0.7,0.0022242,0.9985,9,2,0,6.0893,N
3723,YKL014C,YKL014C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.84764,0.99967,10,7,4,6.9988,N
16070,YKL014C,YKL014C,,p:?; f:?; c:?,RNA metabolism,p,256,0.9,0.97052,0.9959,10,9,5,6,N
3723,YKL021C,MAK11,,f:?; c:membrane fraction; p:virus-host interaction; p:ribosomal large subunit biogenesis,RNA binding,f,230,0.7,0.0099259,0.84601,5,2,0,3,N
6270,YKL039W,PTM1,membrane protein (putative),p:?; f:?; c:?,DNA replication initiation,p,22,0.3,0.39611,0.39611,1,1,1,1,N
